BusinessName,Telephone,Email,EmailHost,WebsiteURL,Linkedin,FacebookProfile,FacebookMessenger,Instagram,Twitter,Google_Rank,DomainRegistered,DomainExpiry,DomainNameserver,DomainRegistrar,Instagram_Followers,Instagram_Follows,Instagram_TotalPhotos,Instagram_Average_Likes,Instagram_Average_Comments,Instagram_Is_verified,Instagram_HighlightReel_Count,Instagram_Is_BizAccount,Instagram_AccountName,YelpAds,FBMessenger_Ads,FacebookAds,Instagram_Ads,Adwords_Ads,Gmaps_URL,GMB_Claimed,FacebookPixel,GooglePixel,CriteoPixel,GoogleStars,GoogleCount,YelpStars,Yelpcount,FacebookStars,Facebookcount,MainCategory,Address,City,State,ZIP,MobileFriendly,GoogleAnalytics,SchemaMarkup,UseWordpress,UseShopify,LinkedinAnalytics
Social Buddy,(267) 341-9236,support@socialbuddy.com,google.com,https://socialbuddy.com/,https://www.linkedin.com/company/social-buddy-agency,https://www.facebook.com/socialbuddyagency/,,https://instagram.com/steampub/,https://www.twitter.com/iamsocialbuddy,,2005-05-18,2022-05-18,cloudflare.com,GoDaddy.com,21014,5756,4197,163,5,,21,1,Steam Pub,no,no,no,no,no,https://g.page/socialbuddy,verified,n,y,n,4.3,,,,,1,Marketing agency,211 N 13th St Suite 800,Philadelphia,PA,19107,y,y,y,y,n,n
Philly PR Girl,(267) 930-8733,kate@phillyprgirl.com,google.com,http://www.phillyprgirl.com/,https://www.linkedin.com/company/3165256,https://www.facebook.com/mindbodyandbubbly/,https://m.me/mindbodyandbubbly/,https://instagram.com/philly_pr_girl/,https://www.twitter.com/philly_pr_girl,,2012-07-01,2022-07-01,bluehost.com,FastDomain Inc.,21865,4874,3641,106,5,,17,,Philly PR Girl,no,no,no,no,no,https://g.page/philly_pr_girl,verified,n,y,n,4.4,,,,,2,Public relations firm,1315 Walnut St Suite 1119,Philadelphia,PA,19107,y,y,y,y,n,n
Social Vantage,(215) 239-3039,info@socialvantage.com,google.com,https://www.socialvantage.com/,https://www.linkedin.com/company/social-vantage,https://www.facebook.com/socialvantage/,,https://instagram.com/socialvantage/,https://www.twitter.com/socialvantageco,,2011-12-21,2022-12-21,,,2350,6891,17,79,3,,,1,Social Vantage,no,no,no,no,no,"https://maps.google.com/maps/place/Social+Vantage/@39.9674444,-75.1369132,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xBB57C13F36BD8CB!8m2!3d39.9674444!4d-75.1369132",unclaimed,n,n,n,,,,,5,3,Marketing agency,1100 N Front St #303,Philadelphia,PA,19123,y,y,y,y,n,n
NXT Factor,(844) 698-4332,dzhao@nxtfactor.com,google.com,http://www.nxtfactor.com/,https://www.linkedin.com/company/nxtfactor,https://www.facebook.com/nxtfactor/,,https://instagram.com/nxt.factor/,https://www.twitter.com/nxtfactor,,2012-09-10,2022-09-10,inmotionhosting.com,FastDomain Inc.,4460,395,428,9,1,,5,1,NXTFactor,no,no,no,no,no,https://g.page/NXTFactorPhilly,verified,n,n,n,,,,,5,6,Marketing agency,1628 John F Kennedy Blvd Suite 400,Philadelphia,PA,19103,y,n,y,y,n,n
Team 624 Communications,,kcleary@team624comm.com,google.com,http://team624comm.com/,https://www.linkedin.com/company/11068323,https://www.facebook.com/team624comm/,,https://instagram.com/team624comm/,https://www.twitter.com/team624comm,,2016-08-01,2022-08-01,domaincontrol.com,GoDaddy.com,639,1333,220,40,3,,6,1,Team 624 Communications,no,no,no,no,no,"https://maps.google.com/maps/place/Team+624+Communications/@39.9755101,-75.13698099999999,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x111B9CE3FE727E9C!8m2!3d39.9755101!4d-75.13698099999999",unclaimed,y,n,n,,,,,,,Marketing agency,1639 N Hancock St Suite 306,Philadelphia,PA,19122,y,y,y,y,n,n
AYS Sports Marketing Inc,(215) 925-7875,askjudi@aysworld.com,outlook.com,https://www.aysworld.com/,https://www.linkedin.com/company/ays,https://www.facebook.com/ayssports/,,https://instagram.com/ayssports/,https://www.twitter.com/aysworld,,2004-12-10,2025-12-10,domaincontrol.com,GoDaddy.com,717,518,302,38,2,,1,1,AYS Sports Marketing,no,no,no,no,no,https://g.page/AYSMarketing,verified,n,n,n,5,,,,5,3,Marketing agency,441 N 5th St # 203,Philadelphia,PA,19123,y,n,y,n,n,n
Ampfluence,(973) 271-0706,hello@ampfluence.com,google.com,https://ampfluence.com/,https://www.linkedin.com/company/ampfluence,https://www.facebook.com/ampfluence/,https://m.me/ampfluence/,https://instagram.com/ampfluence/,https://www.twitter.com/ampfluence,,2017-06-02,2023-06-02,domaincontrol.com,GoDaddy.com,10233,6532,1029,6,,,10,1,Ampfluence,no,no,yes,no,no,"https://maps.google.com/maps/place/Ampfluence/@40.2544903,-74.7772318,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x93C4A66A4F8F2D31!8m2!3d40.2544903!4d-74.7772318",unclaimed,y,y,n,,,,,,,Marketing agency,1602 Pennington Rd,Ewing Township,NJ,8618,y,y,y,y,n,n
Del Rossi's Cheesesteak,(267) 331-4964,pcventures538@gmail.com,google.com,https://delrossisrestaurant.com,,https://www.facebook.com/delrossis/,,https://instagram.com/delrossischeesesteakco/,https://www.twitter.com/delrossi_pa,,2018-02-21,2023-02-21,registrar-servers.com,NameCheap,3522,207,76,238,40,,2,,Del Rossi's,yes,no,yes,no,no,"https://maps.google.com/maps/place/Del+Rossi%27s+Cheesesteak/@39.9615077,-75.1450865,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xEEB3DBFB736094D!8m2!3d39.9615077!4d-75.1450865",verified,n,n,n,4,757,3.5,320,4.4,99,Cheesesteaks,538 N 4th St,Philadelphia,PA,19123,y,y,y,n,n,n
networkgray,(215) 995-5554,info@dinergy.com.au,melbourneit.net,http://networkgray.com/,https://www.linkedin.com/company/networkgray,https://www.facebook.com/networkgray/,,https://instagram.com/networkgray/,,,2016-11-22,2022-02-19,domaincontrol.com,GoDaddy.com,166,,24,18,1,,,1,networkgray,no,no,no,no,no,https://g.page/networkgray,verified,y,y,n,,,,,,2,Advertising agency,1601 Market St,Philadelphia,PA,19102,y,y,n,n,n,n
Jes Ruzic,(732) 778-4361,jes@jesruzic.com,google.com,http://www.jesruzic.com,https://www.linkedin.com/in/jesruzic,https://www.facebook.com/jesruzic/,,https://instagram.com/jesruzicstylist/,,,2016-10-24,2022-10-24,nsone.net,Tucows Domains Inc.,589,288,426,35,7,,10,1,Jes Ruzic,no,no,no,no,no,,,n,y,n,,,,,5,7,Fashion,21 Rues Rd,Cream Ridge,NJ,8514,y,n,y,n,n,n
Momentum Digital,(215) 266-9403,mac@needmomentum.com,google.com,https://needmomentum.com/,https://www.linkedin.com/company/momentum-digital,,,https://instagram.com/needmomentum/,https://www.twitter.com/weneedmomentum,,2015-07-15,2022-07-15,siteground.us,GoDaddy.com,13222,4793,1400,50,3,,6,1,Momentum Digital,no,no,no,no,no,https://g.page/momentumdigitalagency,verified,n,n,n,5,,,,,,Advertising agency,1635 Market St #1601,Philadelphia,PA,19103,y,y,y,y,n,n
Visit Philadelphia,(267) 969-0323,questions@visitphilly.com,google.com,http://www.visitphilly.com/,https://www.linkedin.com/company/visit-philadelphia,,,https://instagram.com/visitphilly/,https://www.twitter.com/visitphilly,,1999-11-11,2025-11-11,cloudflare.com,CSC Corporate Domains,255696,1340,3558,1674,21,1,4,1,Visit Philly,no,no,no,no,yes,"https://maps.google.com/maps/place/Visit+Philadelphia/@39.951698799999996,-75.16978859999999,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xD5E5E93890EC2233!8m2!3d39.951698799999996!4d-75.16978859999999",verified,n,n,n,4.3,,,,,,Corporate office,30 S 17th St #2010,Philadelphia,PA,19103,y,y,y,y,n,n
Berridge Photography,(267) 930-1857,ryan@berridgephotography.com,outlook.com,http://www.berridgephotography.com,https://www.linkedin.com/company/berridgephoto,,,https://instagram.com/berridgephotography/,https://www.twitter.com/berridgephoto,,2016-03-12,2022-03-12,domaincontrol.com,GoDaddy.com,1028,2013,337,25,1,,4,,Bucks County Photographer,no,yes,yes,yes,no,https://g.page/BerridgePhotographyLLC,verified,n,n,n,4.8,16,,,,2,Photographers,300 Welsh Rd,Horsham,PA,19044,n,n,n,n,n,n
Bistro Romano,(215) 925-8880,mike@bistroromano.com,godaddy.com,http://www.bistroromano.com,https://www.linkedin.com/company/bistro-romano,,,https://instagram.com/bistro.romano/,https://www.twitter.com/bistroromano,,1997-09-25,2022-09-24,domaincontrol.com,Network Solutions,6248,451,995,134,5,,4,1,Bistro Romano,yes,no,yes,no,no,https://g.page/bistrophilly,verified,n,n,n,4.6,,4,519,4.9,1,Bars,120 Lombard St,Philadelphia,PA,19147,y,y,y,n,n,n
Rachel Chalik,,info@rachelchalik.com,google.com,https://www.rachelchalik.com/,,,,https://instagram.com/rachelchalik/,,,2016-08-29,2023-08-29,nsone.net,Squarespace Domains LLC,394,656,179,27,1,,1,1,Rachel Chalik,no,no,no,no,no,"https://maps.google.com/maps/place/Rachel+Chalik/@39.9504996,-75.1760283,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x11AA87EAB141F782!8m2!3d39.9504996!4d-75.1760283",verified,n,n,n,4.9,,,,,,Jewellery Designer,2100 Walnut St #5F,Philadelphia,PA,19103,y,y,y,n,n,n
Small Business Reputation,(856) 889-8631,signup@smallbusinessrep.com,bluehost.com,http://smallbusinessrep.com/,,https://www.facebook.com/smallbusinessreputation/,,,,,2018-01-23,2025-01-23,hostgator.com,Launchpad.com Inc.,,,,,,,,,,no,no,no,no,no,"https://maps.google.com/maps/place/Small+Business+Reputation/@39.7261739,-75.1196494,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xC8198D2BFEC81B1C!8m2!3d39.7261739!4d-75.1196494",verified,y,y,n,5,12,,,,,Internet marketing service,229 Adams Ave,Pitman,NJ,8071,y,y,y,y,n,n
Black Dragon Breakfast Co LLC,,contact@blackdragonbreakfast.com,google.com,https://www.shopblackdragons.com/,,,,,https://www.twitter.com/blckdrgnbrkfst,,2020-05-03,2022-05-03,domaincontrol.com,GoDaddy.com,,,,,,,,,,no,no,no,no,no,https://g.page/black-dragon-breakfast-club,verified,n,y,n,5,1,,,,,Marketing agency,5300 Jefferson St,Philadelphia,PA,19131,y,y,y,n,n,n
Cake N Bake,(610) 657-7204,allegra@cakenbakeshop.com,google.com,https://www.cakenbakeshop.com,,,,,,,2018-06-05,2022-06-05,wixdns.net,GoDaddy.com,,,,,,,,,,no,no,no,no,no,"https://maps.google.com/maps/place/Cake+N+Bake/@39.9699126,-75.5842401,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xA314D9906F67468D!8m2!3d39.9699126!4d-75.5842401",verified,n,y,n,5,23,2.5,6,,,Custom Cakes,920 Paoli Pike,West Chester,PA,19380,y,n,n,n,n,n
Emani Milan (Needles),(267) 335-7856,,,http://www.maniwear.com/,,,,,,,,,,,,,,,,,,,,no,no,no,no,no,https://g.page/emani-milan-needles,verified,n,y,n,4.6,,,,,,Wool shop,1632 Cecil B. Moore Ave,Philadelphia,PA,19121,y,n,n,n,n,n
Surreal Creamery,(646) 590-3575,,,http://surrealcreamery.com,,,,,,,2018-10-02,2022-10-02,domaincontrol.com,GoDaddy.com,,,,,,,,,,no,no,no,no,no,"https://maps.google.com/maps/place/Surreal+Creamery/@40.496917767088,-74.447109697016,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xDD912EB286072C3E!8m2!3d40.496917767088!4d-74.447109697016",verified,n,n,n,4.5,538,4,160,,,Bubble Tea,8 Easton Ave,New Brunswick,NJ,8901,y,y,n,n,n,n
